user_location,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
"लखीसराय, भारत",2014-11-18 08:23:12,2,8,5,False,2020-08-08 01:57:30,we are with you sir Justice for #sushant Singh Rajput #Warriors4SSR https://t.co/8LQEx23T3x,"['sushant', 'Warriors4SSR']",Twitter for Android,False
Globe & Beyond,2015-03-09 15:14:47,3580,713,577,False,2020-08-07 23:44:53,#Sushant Singh Rajput: Mystery and voyeurism around Bollywood star's death is now trending on… https://t.co/IM1CLhmNj1,['Sushant'],FS Poster,False
Punjab,2013-10-30 09:18:00,5197,666,888,False,2020-08-07 18:29:46,"Sushant Singh Rajput’s sister @shwetasinghkirti participates in Digital Protest while holding placard and writes 
W… https://t.co/pWblNBmToi",,Twitter for Android,False
,2009-12-19 18:08:11,1231,947,23372,False,2020-08-07 16:46:01,Sushant death case: Is Late CBI Inquiry Politically Motivated? | #Warriors4SSR #SushantConspiracy #Sushant #Blog… https://t.co/eqtw0fDHt0,"['Warriors4SSR', 'SushantConspiracy', 'Sushant', 'Blog']",Twitter Web App,False
Orrissa  India,2019-02-26 13:09:57,37,38,3909,False,2020-08-07 15:23:42,#Warriors4SSR. Justice For #Sushant Singh Rajput https://t.co/Jq5fig7Dcq,"['Warriors4SSR', 'Sushant']",Twitter for Android,False
"Nagaland, India ",2015-12-06 14:46:41,9,113,9,False,2020-08-07 14:51:13,I demand justice for #Sushant Singh Rajput.,['Sushant'],Twitter for Android,False
,2020-08-07 14:19:47,1,8,11,False,2020-08-07 14:37:01,"#Warriors4SSR 
Justice for #sushant #singh #Rajput https://t.co/spDFCvvcgG","['Warriors4SSR', 'sushant', 'singh', 'Rajput']",Twitter for Android,False
Orrissa  India,2019-02-26 13:09:57,37,38,3909,False,2020-08-07 14:32:59,@ishkarnBHANDARI Justice for #Sushant Singh Rajput https://t.co/iAVmo7f1W4,['Sushant'],Twitter for Android,False
Orrissa  India,2019-02-26 13:09:57,37,38,3909,False,2020-08-07 14:30:00,@ishkarnBHANDARI Justice for #Sushant Singh Rajput https://t.co/l9quJuc2yn,['Sushant'],Twitter for Android,False
,2020-07-14 18:17:44,3,41,4,False,2020-08-07 14:11:49,#CBIfor Sushant regarding taking over of the investigation relating to the death of #Bollywood actor #Sushant Singh… https://t.co/Yq0y8ZCVkT,"['CBIfor', 'Bollywood', 'Sushant']",Twitter for Android,False
,2015-01-26 19:15:54,522,1187,57059,False,2020-08-07 12:46:23,@CPMumbaiPolice Pain less death did #Sushant Singh Rajput search googel or Mumbai Police ?,['Sushant'],Twitter for Android,False
"New Delhi, India",2014-01-09 09:15:26,7267,1106,4235,False,2020-08-07 12:21:19,"FIR and transfer of investigation: The legal issues in the #Sushant 
Singh Rajput case

 https://t.co/NzUY3JZQTb",['Sushant'],Twitter for iPhone,False
"Hyderabad, India",2009-07-17 04:12:11,12200,4429,11830,False,2020-08-07 08:28:07,"Rhea Chakraborty plea to transfer case from Bihar not maintainable, she wanted Sushant Singh Rajput's money: Bihar… https://t.co/Akrsl1YHSe",,Twitter for Android,False
India,2017-06-19 18:28:34,30,75,1602,False,2020-08-07 08:24:08,@HMOIndia investigate and punish all involved in #murder of #Sushant Singh Rajput https://t.co/IUi47iieVI,"['murder', 'Sushant']",Twitter for Android,False
"Delhi, India",2011-10-06 14:38:23,8,4,1,False,2020-08-07 07:07:11,#Sushant Singh Rajput: Republic TV is non-brainer entertainment these days. First flavour was Kangana Ranaut and he… https://t.co/bVbBsUIeYq,['Sushant'],Twitter Web App,False
"Delhi, India",2011-10-06 14:38:23,8,4,1,False,2020-08-07 06:53:11,"#Sushant Singh Rajput: Vikas Singh then sends Bihar govt recommendation to Centre for CBI probe, secures delay of d… https://t.co/RtyKXAMq5z",['Sushant'],Twitter Web App,False
"Delhi, India",2011-10-06 14:38:23,8,4,1,False,2020-08-07 06:53:11,"#Sushant Singh Rajput: Hats off to Lawyer Vikas Singh. He drafted complaint of Sushant's father, managed Bihar govt… https://t.co/oTtDBvE067",['Sushant'],Twitter Web App,False
भारत,2018-09-29 08:58:57,0,4,8,False,2020-08-07 06:32:06,"https://t.co/VxmfI7fmrO

Lets take part in the 2nd Digital Protest for Sushant Singh Rajput . Please watch the vide… https://t.co/68Yvn08zTe",,Twitter for Android,False
,2015-07-18 17:17:40,150,1813,4,False,2020-08-07 04:28:26,"#Breaking 
7th Aug, 2020:
Top Headlines
National News:

#Sushant Singh Rajput death: #CBI registers case against… https://t.co/jUfkU06P4g","['Breaking', 'Sushant', 'CBI']",Plume for Android,False
India,2009-05-11 12:25:51,10269747,193,116,True,2020-08-07 04:27:24,"#SushantSinghRajputDeathCase : #Sushant Waited For #SanjanaSanghi To Clear The #MeToo Allegations, Reveals Pavitra… https://t.co/sZkn1i5ql8","['SushantSinghRajputDeathCase', 'Sushant', 'SanjanaSanghi', 'MeToo']",Twitter Web App,False
"Delhi, India",2015-06-02 09:56:32,615,2313,1129,False,2020-08-07 04:20:25,Rhea Chakrabarty got into a relationship with Sushant Singh Rajput with ulterior motives of grabbing his money - sa… https://t.co/WaXnBWtOGN,,Twitter Web App,False
Kochi,2009-03-06 14:15:09,22220,419,239,True,2020-08-07 04:17:19,"#Sushant was accused of sexual harassment in October 2018..

https://t.co/fwIECcy7Dc",['Sushant'],TweetDeck,False
"Kolkata, India",2009-10-27 12:06:59,1459,1142,664,False,2020-08-07 03:09:17,Worth remembering what #Sushant stood for  https://t.co/M3L8maa6nv,['Sushant'],Twitter Web App,False
India ,2011-08-27 19:58:15,1092,1102,8844,False,2020-08-07 01:44:05,"#SushantTruthNow #CBIforShushant @shwetasinghkirt summon/bring  all accused  to Delhi.mumbai flooded 
[BREAKING] CB… https://t.co/dYxJWLYG90","['SushantTruthNow', 'CBIforShushant']",Twitter for Android,False
"Guwahati, India",2012-11-13 11:41:24,5,31,44,False,2020-08-07 01:04:28,"A small heartiest tribute to our beloved Sushant Singh Rajput... 
Video link: https://t.co/jlsnuMvA9G
.
.
.
.
.
.… https://t.co/DzF5zE3c88",,Twitter for Android,False
"Chennai, Tamil Nadu",2012-02-06 07:38:01,1187,375,46450,False,2020-08-06 22:28:47,"[BREAKING] CBI files FIR in Sushant Singh Rajput suicide case, names Rhea Chakraborty &amp; her family… https://t.co/MpIRgJr2Qv",,Twitter for Android,False
,2009-12-19 18:08:11,1231,947,23372,False,2020-08-06 18:23:43,"Media is still playing ""vulture""; only this time it is targetting other #Bollywood stars without proof, while in 20… https://t.co/L7Tr2LShOX",['Bollywood'],Twitter Web App,False
"Siliguri, India",2011-07-28 06:46:43,10,223,391,False,2020-08-06 18:12:06,"Times Now revealed, #RameshTaurani and Nikhil Advani and Uday Singh talked to #Sushant Singh Rajput on a conference… https://t.co/EYNzhaoyRt","['RameshTaurani', 'Sushant']",Twitter for Android,False
chennai/ tamil nadu/india,2012-03-12 13:45:08,33,254,110,False,2020-08-06 18:05:37,"SHOCKING UPDATE : Sushant Singh Rajput's Father Speaks Out 🔥🔥I #Sushant
#SushantRheaTwist
#SushanthSinghRajput… https://t.co/5zobGji4o8","['Sushant', 'SushantRheaTwist', 'SushanthSinghRajput']",Twitter for Android,False
,2019-03-01 14:23:32,121,29,12531,False,2020-08-06 17:28:56,Finally  Sushant Singh Rajput &amp; Riya's case is gone in ✋ hand Of higher Renk Police (  C. B. I.  ) now surely  SSR… https://t.co/8jM5Ka2GuF,,Twitter for Android,False
,2020-07-08 07:37:02,0,49,87,False,2020-08-06 16:10:33,@itsSSR @mastercardindia @ICICIBank #Sushant Singh Rajput our right to speech  is under threat. One citizen has been attested today!,['Sushant'],Twitter for Android,False
"Bengaluru South, India",2019-03-17 14:36:31,302,209,15766,False,2020-08-06 13:09:06,"#Sushant speaks to the last man who called Sushant Singh Rajput before his death. In 5 calls of over 12 minutes, a… https://t.co/YRsEG17qw6",['Sushant'],Twitter for Android,False
,2016-03-09 15:20:21,287,156,84524,False,2020-08-06 13:08:13,"@ConradkBarwa @Goth_Bharaai Hence the hatred against Bollywood now

#sushant was hardly a bigot.. infact he was lib… https://t.co/bx7nVb4dnu",['sushant'],Twitter Web App,False
,2016-04-27 06:31:12,12,31,1,False,2020-08-06 07:28:24,"hahaha Rhea Chakraborty request finally got accepted in Sushant Singh Rajput Case
https://t.co/iV9VzyAy1Y
#Sushant… https://t.co/bmwguziyFd",['Sushant'],Twitter Web App,False
,2020-01-08 14:37:39,2,39,2,False,2020-08-06 06:10:24,"hahaha Rhea Chakraborty request finally got accepted in Sushant Singh Rajput Case
https://t.co/ZFwh5dYChJ
#Sushant… https://t.co/yvKSmRP9wa",['Sushant'],Twitter Web App,False
"Tripura, India",2018-03-17 14:59:07,10,158,2175,False,2020-08-06 05:39:30,"We want justice for #sushant singh rajput sir 
We want justice for #disha salian 
We want they're murderer should be punish.(2/2)","['sushant', 'disha']",Twitter for Android,False
,2018-12-15 13:01:28,2,0,1,False,2020-08-06 05:36:32,"#RheaChakraborty request finally got accepted in #SushantSinghRajputCase
https://t.co/PKZ4oMpjEX
#SushantCoverup… https://t.co/lQp4tJeESB","['RheaChakraborty', 'SushantSinghRajputCase', 'SushantCoverup']",Twitter Web App,False
"Jamshedpur, India",2018-02-16 19:24:19,330,70,6071,False,2020-08-05 18:00:57,"A petition linking Sushant Singh Rajput's suicide with the death of his former manager, Disha Salian, has been file… https://t.co/jt64VWnbjl",,Twitter for Android,False
India,2009-06-01 08:52:08,1977304,381,141,True,2020-08-05 17:55:00,"Centre directs CBI probe in Sushant Singh Rajput death case, issues notification

#Sushant
#CBI

https://t.co/tnDCyGSuac","['Sushant', 'CBI']",TweetDeck,False
,2020-06-17 08:23:44,5,54,358,False,2020-08-05 16:37:49,"@pinkvilla #SUSHANT SINGH RAJPUT!!! 
ONLY SSR",['SUSHANT'],Twitter for Android,False
"New Jersey, USA🇱🇷",2020-05-24 15:18:26,21,10,351,False,2020-08-05 15:49:18,"@santhoshlee @itsSSR @eli_ode #SushantSinghRajput
#JusticeForSushantSinghRajput
#JusticeForDishaSalian 🙏🙏#Justice f… https://t.co/oF1vpPnwKU","['SushantSinghRajput', 'JusticeForSushantSinghRajput', 'JusticeForDishaSalian', 'Justice']",Twitter for Android,False
India,2009-05-02 20:51:21,928753,1491,6163,False,2020-08-05 14:43:00,BREAKING: #SupremeCourt passes an Important Ruling in '#SushantSinghRajput Death Case' and Investigation! Details… https://t.co/FTFBjLBecG,"['SupremeCourt', 'SushantSinghRajput']",Twitter Web App,False
New Delhi,2015-03-30 16:28:33,6,56,20,False,2020-08-05 14:41:52,Right Disha Salian Case should be investigated thoroughly. Then only Sushant Singh Rajput @itsSSR  have juistice. O… https://t.co/Z6wxmGt06M,,Twitter Web App,False
chennai/ tamil nadu/india,2012-03-12 13:45:08,33,254,110,False,2020-08-05 13:58:34,"SHOCKING UPDATE : Sushant Singh Rajput's Father Speaks Out 🔥🔥I #Sushant
#SushantRheaTwist
#SushanthSinghRajput… https://t.co/naEr6Okl35","['Sushant', 'SushantRheaTwist', 'SushanthSinghRajput']",Twitter for Android,False
World of Fans,2013-11-30 08:40:41,1219,235,845,False,2020-08-05 13:44:28,"Sushant Singh Rajput’s case handed over to CBI:
@itsSSR @SushantSinghraa 
.
#bollywood #sushantsightrajputfans… https://t.co/nRjZnnQGWw","['bollywood', 'sushantsightrajputfans']",Twitter Web App,False
